id	Disese	Call	ProbeID	Status
cg24585453	T1D	Unmethy	cg24585453	hypo
cg22531889	T1D	Unmethy	cg22531889	hypo
cg01804183	T1D	Methy	cg01804183	hyper
cg01027405	T1D	Methy	cg01027405	hyper
cg09142144	T1D	Methy	cg09142144	hyper
cg14132167	T1D	Methy	cg14132167	hyper
cg17066529	T1D	Methy	cg17066529	hyper
cg17486314	T1D	Methy	cg17486314	hyper
cg09818385	T1D	Methy	cg09818385	hyper
cg09757525	T1D	Unmethy	cg09757525	hypo
cg24700316	T1D	Methy	cg24700316	hyper
cg20768122	T1D	Methy	cg20768122	hyper
cg03035849	T1D	Methy	cg03035849	hyper
cg20229609	T1D	Methy	cg20229609	hyper
cg12592691	T1D	Methy	cg12592691	hyper
cg05950498	T1D	Methy	cg05950498	hyper
cg17727071	T1D	Methy	cg17727071	hyper
cg05843966	T1D	Methy	cg05843966	hyper
cg10765387	T1D	Methy	cg10765387	hyper
cg07152355	T1D	Methy	cg07152355	hyper
cg23122650	T1D	Methy	cg23122650	hyper
cg14997413	T1D	Unmethy	cg14997413	hypo
cg14340481	T1D	Methy	cg14340481	hyper
cg14269813	T1D	Methy	cg14269813	hyper
cg14047387	T1D	Methy	cg14047387	hyper
cg14641122	T1D	Methy	cg14641122	hyper
cg14302428	T1D	Methy	cg14302428	hyper
cg23053961	T1D	Methy	cg23053961	hyper
cg06937939	T1D	Unmethy	cg06937939	hypo
cg00242839	T1D	Methy	cg00242839	hyper
cg23126166	T1D	Methy	cg23126166	hyper
cg02719427	T1D	Methy	cg02719427	hyper
cg00221747	T1D	Methy	cg00221747	hyper
cg12528452	T1D	Methy	cg12528452	hyper
cg14890224	T1D	Methy	cg14890224	hyper
cg03760951	T1D	Unmethy	cg03760951	hypo
cg05452899	T1D	Unmethy	cg05452899	hypo
cg17037101	T1D	Unmethy	cg17037101	hypo
cg23676551	T1D	Unmethy	cg23676551	hypo
cg15393937	T1D	Unmethy	cg15393937	hypo
cg02835822	T1D	Unmethy	cg02835822	hypo
cg04072545	T1D	Unmethy	cg04072545	hypo
cg14188639	T1D	Unmethy	cg14188639	hypo
cg13791131	T1D	Unmethy	cg13791131	hypo
cg25574024	T1D	Unmethy	cg25574024	hypo
cg05444816	T1D	Unmethy	cg05444816	hypo
cg01921126	T1D	Methy	cg01921126	hyper
cg24439505	T1D	Methy	cg24439505	hyper
cg04484994	T1D	Methy	cg04484994	hyper
cg19297427	T1D	Methy	cg19297427	hyper
cg13993218	T1D	Methy	cg13993218	hyper
cg16711450	T1D	Methy	cg16711450	hyper
cg25150846	T1D	Methy	cg25150846	hyper
cg14714364	T1D	Methy	cg14714364	hyper
cg04204669	T1D	Methy	cg04204669	hyper
cg13918228	T1D	Methy	cg13918228	hyper
cg26929894	T1D	Unmethy	cg26929894	hypo
cg04794420	T1D	Unmethy	cg04794420	hypo
cg00907267	T1D	Methy	cg00907267	hyper
cg05207107	T1D	Methy	cg05207107	hyper
cg10056728	T1D	Methy	cg10056728	hyper
cg16731153	T1D	Methy	cg16731153	hyper
cg08538139	T1D	Unmethy	cg08538139	hypo
cg08933160	T1D	Methy	cg08933160	hyper
cg13519191	T1D	Methy	cg13519191	hyper
cg09285543	T1D	Methy	cg09285543	hyper
cg24183098	T1D	Methy	cg24183098	hyper
cg24757755	T1D	Methy	cg24757755	hyper
cg08294662	T1D	Methy	cg08294662	hyper
cg24721750	T1D	Methy	cg24721750	hyper
cg00941900	T1D	Methy	cg00941900	hyper
cg00166915	T1D	Methy	cg00166915	hyper
cg15811668	T1D	Unmethy	cg15811668	hypo
cg20560169	T1D	Unmethy	cg20560169	hypo
cg04818710	T1D	Unmethy	cg04818710	hypo
cg18301891	T1D	Unmethy	cg18301891	hypo
cg01877260	T1D	Methy	cg01877260	hyper
cg23525051	T1D	Methy	cg23525051	hyper
cg10533331	T1D	Methy	cg10533331	hyper
cg17270013	T1D	Methy	cg17270013	hyper
cg17922215	T1D	Unmethy	cg17922215	hypo
cg07448499	T1D	Unmethy	cg07448499	hypo
cg18738367	T1D	Unmethy	cg18738367	hypo
cg10379077	T1D	Methy	cg10379077	hyper
cg08498465	T1D	Methy	cg08498465	hyper
cg04616529	T1D	Methy	cg04616529	hyper
cg03995533	T1D	Methy	cg03995533	hyper
cg10297430	T1D	Methy	cg10297430	hyper
cg06150195	T1D	Unmethy	cg06150195	hypo
cg26442107	T1D	Methy	cg26442107	hyper
cg09967329	T1D	Methy	cg09967329	hyper
cg01281993	T1D	Methy	cg01281993	hyper
cg26840146	T1D	Methy	cg26840146	hyper
cg02021288	T1D	Methy	cg02021288	hyper
cg14113931	T1D	Methy	cg14113931	hyper
cg15873449	T1D	Methy	cg15873449	hyper
cg12032103	T1D	Methy	cg12032103	hyper
cg26848442	T1D	Methy	cg26848442	hyper
cg12929678	T1D	Methy	cg12929678	hyper
cg21480173	T1D	Methy	cg21480173	hyper
cg00590639	T1D	Methy	cg00590639	hyper
cg15662184	T1D	Methy	cg15662184	hyper
cg11369662	T1D	Methy	cg11369662	hyper
cg06622468	T1D	Unmethy	cg06622468	hypo
cg14757173	T1D	Methy	cg14757173	hyper
